symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,exchange,volume,avgVolume,open,previousClose,eps,pe,sharesOutstanding,timestamp,data_load_date
MSFT,Microsoft Corporation,458.17,-0.15255,-0.7,454.3201,458.29,468.35,344.79,3.40537E+12,397.4642,414.92145,NASDAQ,15274643,25118867,455.59,458.87,12.95,35.38,7432540000,1747771201,2025-05-20
AAPL,Apple Inc.,206.86,-0.91963,-1.92,205.036,208.47,260.1,169.21,3.08962E+12,207.868,226.1774,NASDAQ,40519485,61653365,207.67,208.78,7.09,29.18,14935800000,1747771201,2025-05-20
NVDA,NVIDIA Corporation,134.387,-0.87261,-1.183,132.62,134.58,153.13,86.62,3.27738E+12,113.1272,125.58635,NASDAQ,157758523,289040496,134.29,135.57,2.94,45.71,24387600000,1747771200,2025-05-20
AMZN,"Amazon.com, Inc.",204.07,-1.01378,-2.09,202.67,205.58,242.52,151.61,2.16649E+12,190.5924,199.90785,NASDAQ,28825460,52636439,204.628,206.16,6.15,33.18,10616400000,1747771201,2025-05-20
GOOG,Alphabet Inc.,165.32,-1.51903,-2.55,164.29,169.68,208.7,142.66,1.99798E+12,160.9978,172.54526,NASDAQ,33190578,25035955,167.76,167.87,8.96,18.45,12079265456,1747771200,2025-05-20
GOOGL,Alphabet Inc.,163.98,-1.53717,-2.56,162.91,168.5,207.05,140.53,1.99658E+12,159.0474,170.8938,NASDAQ,46242950,38734549,166.43,166.54,8.96,18.3,12175731309,1747771201,2025-05-20
LLY,Eli Lilly and Company,747.01,-1.07269,-8.1,743.06,763.495,972.53,677.09,7.07968E+11,799.6836,838.645,NYSE,3301799,4206913,758.31,755.11,12.27,60.88,947736000,1747771202,2025-05-20
TSLA,"Tesla, Inc.",343.76,0.48818,1.67,341.71,354.9804,488.54,167.41,1.10571E+12,268.5566,296.5327,NASDAQ,128208786,125160970,347.94,342.09,1.75,196.43,3216520000,1747771200,2025-05-20
AVGO,Broadcom Inc.,231.68,0.45527,1.05,226.34,231.76,251.88,128.5,1.08935E+12,188.9428,188.3861,NASDAQ,11719937,31130667,226.565,230.63,2.15,107.76,4701950000,1747771201,2025-05-20
JPM,JPMorgan Chase & Co.,265.68,0.30202,0.8,262.3,267.435,280.25,190.88,7.38349E+11,241.615,236.6612,NYSE,6291060,11752732,262.52,264.88,20.39,13.03,2779090000,1747771202,2025-05-20
V,Visa Inc.,366.84,-0.28812,-1.06,364.69,368.25,369.15,252.7,7.11361E+11,340.0052,312.97275,NYSE,3061334,7150039,367.78,367.9,9.97,36.79,1939159196,1747771202,2025-05-20
MA,Mastercard Incorporated,581.11,-0.9038,-5.3,576.93,583.99,588.45,428.86,5.23733E+11,538.4484,520.6848,NYSE,1956879,2945647,582.41,586.41,14.23,40.84,901263000,1747771202,2025-05-20
NFLX,"Netflix, Inc.",1192.02,0.03188883,0.38,1179.48,1193,1196.5,587.04,5.07289E+11,1012.6358,868.82837,NASDAQ,2114136,5159359,1186.79,1191.64,21.21,56.2,425571000,1747771200,2025-05-20
XOM,Exxon Mobil Corporation,104.95,-1.42763,-1.52,104.775,106.715,126.34,97.8,4.52297E+11,109.2776,113.05865,NYSE,10599120,17593027,106.39,106.47,7.54,13.92,4309640000,1747771267,2025-05-20
COST,Costco Wholesale Corporation,1036.82,0.23977,2.48,1030.01,1037.95,1078.23,788.2,4.60019E+11,962.0942,940.9657,NASDAQ,2267237,2468311,1030.01,1034.34,17.13,60.53,443683000,1747771201,2025-05-20
UNH,UnitedHealth Group Incorporated,321.58,1.80126,5.69,312.58,324.64,630.73,248.88,2.91718E+11,464.572,533.2504,NYSE,39795847,12379955,320.92,315.89,23.88,13.47,907140000,1747771202,2025-05-20
HD,"The Home Depot, Inc.",377.05,-0.61416,-2.33,374.0501,388.65,439.37,323.77,3.74761E+11,359.7954,386.68246,NYSE,5758278,3835993,386.37,379.38,14.91,25.29,993928000,1747771202,2025-05-20
PG,The Procter & Gamble Company,165.64,0.52801,0.87,164.6,166,180.43,156.58,3.8835E+11,164.9588,168.5495,NYSE,4408894,8763057,164.61,164.77,6.29,26.33,2344540000,1747771202,2025-05-20
ORCL,Oracle Corporation,160.31,0.41969,0.67,157.53,160.36,198.31,114.55,4.49546E+11,144.1264,160.62195,NYSE,6570004,10570196,158.63,159.64,4.25,37.72,2804230000,1747771202,2025-05-20
JNJ,Johnson & Johnson,153.66,0.76726,1.17,152.12,154.0399,169.99,140.68,3.69717E+11,156.9484,156.89105,NYSE,4104919,9783227,152.33,152.49,8.99,17.09,2406070000,1747771202,2025-05-20
ABBV,AbbVie Inc.,184.85,-0.46309,-0.86,183.635,186,218.66,153.58,3.26519E+11,193.1608,189.32715,NYSE,4000932,8219614,184.86,185.71,2.34,79,1766400000,1747771202,2025-05-20
BAC,Bank of America Corporation,44.69,-0.17869,-0.08,44.41,44.91,48.08,33.07,3.366E+11,40.3086,42.43345,NYSE,33248831,49820188,44.59,44.77,3.35,13.34,7531880000,1747771202,2025-05-20
KO,The Coca-Cola Company,71.69,-0.33366,-0.24,71.43,72.13,74.38,60.62,3.08573E+11,70.9568,67.8707,NYSE,9550943,18834209,71.8,71.93,2.49,28.79,4304270000,1747771202,2025-05-20
PLTR,Palantir Technologies Inc.,125.59,-0.58577,-0.74,124.65,128.2,133.49,20.63,2.96381E+11,99.063,69.6193,NASDAQ,60295560,110066211,127.22,126.33,0.23,546.04,2359910020,1747771200,2025-05-20
TMUS,"T-Mobile US, Inc.",241.21,-1.24463,-3.04,239.12,245.63,276.49,163.26,2.73882E+11,254.0378,230.94365,NASDAQ,4735237,4488957,245.12,244.25,10.23,23.58,1135450000,1747771200,2025-05-20
